"rel"	"size"	"has_nul"	"gofmt_exit"	"err"
"cmd\db-api\main.go"	"3005"	"False"	"0"	"System.Object[]"
"internal\bootstrap\app.go"	"1537"	"False"	"0"	"System.Object[]"
"internal\bootstrap\cache_loader.go"	"6193"	"False"	"0"	"System.Object[]"
"internal\bootstrap\dependencies.go"	"1934"	"False"	"0"	"System.Object[]"
"internal\cache\item_cache.go"	"1836"	"False"	"0"	"System.Object[]"
"internal\cache\load_types.go"	"530"	"False"	"0"	"System.Object[]"
"internal\cache\profile_cache.go"	"9790"	"False"	"0"	"System.Object[]"
"internal\cache\skill_cache.go"	"7928"	"False"	"0"	"System.Object[]"
"internal\cache\status_effect_cache.go"	"1984"	"False"	"0"	"System.Object[]"
"internal\cache\template_cache.go"	"1985"	"False"	"0"	"System.Object[]"
"internal\cache\world_cache.go"	"6648"	"False"	"0"	"System.Object[]"
"internal\config\config.go"	"3511"	"False"	"0"	"System.Object[]"
"internal\config\env.go"	"911"	"False"	"0"	"System.Object[]"
"internal\database\contracts.go"	"432"	"False"	"0"	"System.Object[]"
"internal\database\migration.go"	"4314"	"False"	"0"	"System.Object[]"
"internal\database\pool.go"	"1886"	"False"	"0"	"System.Object[]"
"internal\database\postgres.go"	"610"	"False"	"0"	"System.Object[]"
"internal\database\tx_manager.go"	"1738"	"False"	"0"	"System.Object[]"
"internal\grpc\server.go"	"2342"	"False"	"0"	"System.Object[]"
"internal\grpc\handlers\cache_handler.go"	"6078"	"False"	"0"	"System.Object[]"
"internal\grpc\interceptors\logging.go"	"722"	"False"	"0"	"System.Object[]"
"internal\grpc\interceptors\recovery.go"	"828"	"False"	"0"	"System.Object[]"
"internal\logger\logger.go"	"1291"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\creature_repository.go"	"11830"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\inventory_repository.go"	"9849"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\player_repository.go"	"4521"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\profile_repository.go"	"15424"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\skill_repository.go"	"19027"	"False"	"0"	"System.Object[]"
"internal\repository\postgres\world_repository.go"	"10976"	"False"	"0"	"System.Object[]"
